student_id,title,math,adv_math_elec,chem,phys,bio,ss,ee,elec_sci,cs,elec_hum,wl,as,en400
38129512,Trimester 1,0,1,0,1,1,0,0,0,0,0,1,0,1
38129520,Trimester 1,0,1,0,0,1,0,0,1,0,0,1,0,0
38129677,Trimester 1,0,1,1,0,0,0,1,0,0,0,1,0,0
38129686,Trimester 1,0,1,0,1,0,0,1,0,0,0,1,0,1
38130103,Trimester 1,0,1,0,0,0,0,0,0,0,0,1,0,1
38130254,Trimester 1,0,1,0,0,0,0,0,1,0,1,0,0,1
38130423,Trimester 1,0,1,1,0,1,0,1,0,0,0,0,0,0
38130866,Trimester 1,0,1,0,1,1,0,0,0,0,0,1,0,1
38130941,Trimester 1,0,1,0,0,1,0,1,0,0,0,0,0,0
38131262,Trimester 1,0,1,1,0,0,0,0,0,0,0,0,0,1
38131281,Trimester 1,0,1,0,0,0,0,0,1,0,0,1,0,1
38131561,Trimester 1,0,1,0,1,0,0,1,0,0,0,0,0,1
38131735,Trimester 1,0,1,1,0,0,0,1,0,0,0,0,0,0
38131801,Trimester 1,0,0,0,0,1,0,0,1,0,0,0,0,1
38131943,Trimester 1,0,0,0,0,1,0,0,0,0,0,1,0,2
38132052,Trimester 1,0,1,0,0,0,0,0,2,0,0,0,0,0
38134101,Trimester 1,0,1,1,0,1,0,0,0,0,0,1,0,1
38134318,Trimester 1,0,1,1,0,0,0,0,0,1,0,1,0,1
38134451,Trimester 1,0,1,1,0,2,0,0,0,0,0,0,0,1
38134519,Trimester 1,0,1,1,0,1,0,0,0,0,0,1,0,1
38134610,Trimester 1,0,1,0,0,0,0,0,0,0,0,1,0,1
38134698,Trimester 1,0,0,1,0,0,0,1,0,1,0,0,0,1
38134707,Trimester 1,0,1,0,0,1,1,0,0,0,0,0,0,1
38134733,Trimester 1,0,1,0,1,0,1,0,1,0,0,0,0,1
38134914,Trimester 1,0,2,1,0,0,0,0,0,0,1,1,0,1
38135080,Trimester 1,0,1,0,0,1,1,0,1,1,0,0,0,0
38135223,Trimester 1,0,2,0,0,1,0,0,0,0,0,0,0,1
38135714,Trimester 1,0,0,1,1,0,0,0,1,0,0,1,0,1
38136819,Trimester 1,0,0,0,0,0,0,1,1,0,0,1,0,1
38137382,Trimester 1,0,1,0,0,0,0,0,0,0,0,1,0,1
38137546,Trimester 1,0,1,1,0,1,0,0,0,0,0,0,0,1
38137898,Trimester 1,0,2,0,0,1,0,0,0,0,0,0,0,0
38138217,Trimester 1,0,1,0,1,1,0,0,0,1,0,0,0,0
38138223,Trimester 1,0,1,0,0,0,1,0,0,1,0,1,0,0
38139221,Trimester 1,0,1,0,0,1,0,0,0,0,1,1,0,0
38139338,Trimester 1,0,1,0,0,0,1,0,0,0,0,1,0,0
38139413,Trimester 1,0,2,0,0,0,0,0,1,0,0,0,0,0
38140115,Trimester 1,0,1,0,1,1,0,0,0,0,0,1,0,1
38140237,Trimester 1,0,1,1,0,0,0,0,0,1,0,0,0,1
38140327,Trimester 1,0,1,1,0,1,0,0,0,1,0,0,0,1
