student_id,title,math,adv_math_elec,chem,phys,bio,ee,elec_sci,cs,elec_hum,wl,as,en400,ss,as_ss,cs_ee_ss
11846088,Trimester 1,0,1,0,1,0,0,0,0,0,1,0,1,,,
11846089,Trimester 1,0,1,0,0,1,0,1,1,0,0,0,1,,,
11846105,Trimester 1,0,1,0,0,0,1,0,0,0,1,0,1,,,
11846114,Trimester 1,0,0,0,0,0,1,0,0,0,1,0,1,,,
11846122,Trimester 1,0,1,0,0,0,0,1,1,0,0,0,1,,,
11846158,Trimester 1,0,1,0,0,1,0,1,0,0,1,0,0,,,
11846166,Trimester 1,0,3,0,0,1,0,0,0,0,0,0,1,,,
11846189,Trimester 1,0,1,1,0,0,0,0,0,0,1,0,1,,,
11846199,Trimester 1,0,2,1,0,0,0,0,0,0,0,0,1,,,
11846248,Trimester 1,0,1,0,1,1,0,0,0,0,0,0,1,,,
11846470,Trimester 1,0,1,1,1,0,1,0,0,0,0,0,1,,,
11846556,Trimester 1,1,0,0,1,1,0,0,1,0,1,0,0,0,,
11846750,Trimester 1,0,1,0,1,0,1,0,1,0,0,0,1,,,
11846798,Trimester 1,0,1,1,0,1,0,0,0,0,1,0,1,,,
11846831,Trimester 1,0,1,1,0,0,0,0,0,0,1,0,1,,,
11846941,Trimester 1,0,2,0,0,0,0,2,0,0,0,0,1,,,
11846945,Trimester 1,0,1,0,0,1,0,0,1,0,0,0,1,,,
11846976,Trimester 1,1,0,1,0,0,1,0,1,0,1,0,0,0,,
11847066,Trimester 1,0,1,0,1,0,1,0,0,0,0,0,1,,,
11847073,Trimester 1,0,1,0,1,0,0,0,0,0,1,0,1,,,
11847077,Trimester 1,0,2,0,0,1,0,1,0,0,0,0,0,,,
11847079,Trimester 1,0,1,1,0,1,0,0,0,0,1,0,0,,,
11847139,Trimester 1,0,1,0,1,2,0,0,0,0,0,0,1,,,
11847140,Trimester 1,0,1,1,0,1,0,0,0,0,0,0,1,,,
11847176,Trimester 1,0,1,0,0,1,0,0,0,0,0,0,1,,,
11847193,Trimester 1,0,1,0,1,0,0,0,0,0,0,0,1,,,
11847223,Trimester 1,0,0,0,0,2,0,2,0,0,0,0,1,,,
11847224,Trimester 1,0,0,1,0,1,0,0,1,0,0,0,1,,,
11847225,Trimester 1,0,1,0,1,0,0,0,0,0,1,0,1,,,
11847230,Trimester 1,0,1,0,1,0,1,0,0,0,1,0,1,,,
11847231,Trimester 1,0,1,1,0,1,0,0,1,0,0,0,1,,,
11847254,Trimester 1,0,1,0,0,1,0,0,0,0,1,0,1,,,
11847258,Trimester 1,0,1,0,1,0,1,0,0,0,1,0,1,,,
11847273,Trimester 1,0,1,0,1,0,0,1,0,0,1,0,1,,,
11847274,Trimester 1,0,2,0,1,0,0,0,0,0,0,0,1,,,
11847278,Trimester 1,0,1,0,1,0,0,0,0,0,0,0,1,,,
11847291,Trimester 1,0,0,1,0,1,0,0,1,0,0,0,1,,,
11847302,Trimester 1,0,2,0,0,0,0,2,0,0,0,0,1,,,
11847315,Trimester 1,0,1,1,0,0,0,0,0,0,0,0,1,,,
11847330,Trimester 1,0,1,1,0,0,0,0,1,0,1,0,1,,,
11847332,Trimester 1,0,1,0,1,0,0,0,0,0,0,0,1,,,
